Id,Prospect,Disposition,App.Year,MonthDeadline,DateDeadline,YearDeadline,UniversityId,Selectivity,Tier,Major.1,Major.2,Minor,GPA,Met,Sourced,Type,Size,Region,AlumniCount,CurrentCMCount,CurrentTFAStaffCount,InequityAwareness,TFAAwareness,StudentsCount,ISSTEM,Tier2016,Tier2017
2016_3,Undergrad,Rejected,2016,March,4,2016,001F000000nH83bIAC,4,3,Other Science,,,No,No,Recruiter,Public,Very Large,N,655,55,25,5,5,25000,No,3,3
2016_4,Undergrad,Rejected,2016,January,15,2016,001F000000nH7f1IAC,5,3,Animal Science,,,No,No,Self,Private NFP,Very Large,E,633,52,25,5,2,25000,No,3,3
2016_6,Undergrad,Withdrawn,2016,January,15,2016,001F000000nH7YKIA0,5,3,Ethnic Studies,Political Science,,No,No,Self,Private NFP,Medium,E,353,15,14,5,2,12500,No,3,3
2016_8,Undergrad,Rejected,2016,January,15,2016,001F000000nH83VIAS,3,3,English Literature,,,No,No,Self,Public,Very Large,W,299,72,20,2,5,25000,No,3,3
2016_9,Undergrad,Rejected,2016,January,15,2016,001F000000nHBQiIAO,5,3,Psychology,,,No,No,Self,Private NFP,Medium,E,166,10,3,5,2,12500,No,3,3
2016_12,Undergrad,Rejected,2016,March,4,2016,001F000000nHAh7IAG,4,3,International Studies/Relations,,International Business,No,No,Self,Public,Very Large,E,113,33,8,1,3,25000,No,3,2
2016_13,Undergrad,Rejected,2016,January,15,2016,001F000000nH7YtIAK,1,3,Biology,,,No,No,Self,Unknown,Medium,E,16,11,1,5,2,12500,No,3,1
2016_14,Undergrad,Withdrawn,2016,January,15,2016,001F000000nH9c1IAC,4,3,Political Science,,,Yes,No,Self,Public,Large,S,76,21,4,1,3,22500,No,3,2
2016_15,Undergrad,Rejected,2016,January,15,2016,001F000000nHCK2IAO,3,3,Pre-medicine,,,No,No,Self,Private NFP,Small,E,121,12,1,5,2,5000,No,3,3
2016_19,Undergrad,Withdrawn,2016,January,15,2016,001F000000nH7LFIA0,4,3,Communications,,Psychology,No,Yes,Self,Private NFP,Medium,E,181,37,3,2,5,12500,No,3,3
2016_21,Undergrad,Rejected,2016,January,15,2016,001F000000nH9xTIAS,4,3,Anthropology,,Italian,No,Yes,Self,Private NFP,Medium,E,86,8,4,2,5,12500,No,3,2
2016_26,Undergrad,Rejected,2016,January,15,2016,001F000000nHCdyIAG,4,3,Psychology,,Music,No,No,Self,Public,Very Large,S,118,20,13,1,3,25000,No,3,2
2016_27,Undergrad,Accepted,2016,January,15,2016,001F000000nH9UiIAK,4,3,Education (elementary),,,No,No,Self,Public,Very Large,N,257,34,24,1,3,25000,No,3,2
2016_28,Undergrad,Rejected,2016,January,15,2016,001F000000nHAh7IAG,4,3,Early Childhood Education,,Other,No,No,Self,Public,Very Large,E,113,33,8,1,3,25000,No,3,2
2016_33,Undergrad,Accepted,2016,January,15,2016,001F000000nHEvPIAW,5,3,Chemistry,Biology,,No,No,Self,Private NFP,Medium,E,133,20,4,0,0,12500,Yes,3,2
2016_36,Undergrad,Rejected,2016,January,15,2016,001F000000nHCzwIAG,3,3,Education (elementary),English,,Yes,No,Self,Public,Very Large,E,32,17,0,5,2,25000,No,3,1
2016_42,Undergrad,Withdrawn,2016,March,4,2016,001F000000nHElAIAW,3,3,Spanish,,Asian Studies,Yes,No,Self,Private NFP,Medium,E,44,5,4,0,0,12500,No,3,1
2016_43,Undergrad,Rejected,2016,January,15,2016,001F000000nHCmgIAG,5,3,Communications,,Business,Yes,No,Recruiter,Private NFP,Very Large,E,326,43,17,1,3,25000,No,3,3
2016_46,Undergrad,Withdrawn,2016,March,4,2016,001F000000nHElAIAW,3,3,International Studies/Relations,Philosophy,Spanish,No,Yes,Self,Private NFP,Medium,E,44,5,4,0,0,12500,No,3,1
2016_53,Undergrad,Withdrawn,2016,January,15,2016,001F000000nH7Z1IAK,4,3,Civil Engineering,,Other,Yes,No,Self,Public,Very Large,E,108,19,8,1,3,25000,Yes,3,2
2016_54,Undergrad,Rejected,2016,January,15,2016,001F000000nH7ZBIA0,4,3,Psychology,,,No,No,Self,Public,Large,S,58,16,4,1,3,22500,No,3,2
2016_57,Undergrad,Rejected,2016,January,15,2016,001F000000nH7GQIA0,4,3,Anthropology,,,No,No,Self,Public,Very Large,W,113,10,3,5,2,25000,No,3,2
2016_58,Undergrad,Rejected,2016,January,15,2016,001F000000nHAX5IAO,4,3,Public Health,Political Science,,No,No,Self,Public,Very Large,E,216,27,8,0,0,25000,No,3,2
2016_60,Undergrad,Rejected,2016,January,15,2016,001F000000nHEN6IAO,4,3,Criminology,,,No,Yes,Self,Public,Very Large,S,536,79,28,5,5,25000,No,3,3
2016_64,Undergrad,Withdrawn,2016,January,15,2016,001F000000nHCFFIA4,4,3,Psychology,,,Yes,No,Self,Private NFP,Medium,W,88,13,4,5,5,12500,No,3,3
2016_66,Undergrad,Withdrawn,2016,January,15,2016,001F000000nH9wzIAC,4,3,Psychology,,,Yes,No,Self,Public,Medium,W,66,26,0,5,2,12500,No,3,2
2016_68,Undergrad,Rejected,2016,January,15,2016,001F000000nH83VIAS,3,3,Biology,,,No,Yes,Self,Public,Very Large,W,299,72,20,2,5,25000,No,3,3
2016_69,Undergrad,Rejected,2016,January,15,2016,001F000000nH7YrIAK,4,3,Psychology,,,No,No,Self,Public,Very Large,W,177,33,7,5,2,25000,No,3,2
2016_70,Undergrad,Rejected,2016,January,15,2016,001F000000nH7GDIA0,5,3,Political Science,,,Yes,Yes,Self,Public,Very Large,W,316,53,10,5,2,25000,No,3,3
